7450-648356
OS REV: 1.05 Sensor Cal: 1617726901
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1628960160,+3.52,+16.373, +8.090,+0.960
1628960760,+3.52,+16.356, +8.099,+0.960
1628961360,+3.52,+16.381, +8.107,+0.960
1628961960,+3.52,+16.415, +8.105,+0.960
1628962560,+3.52,+16.432, +8.106,+0.960
1628963160,+3.52,+16.483, +8.095,+0.960
1628963760,+3.52,+16.475, +8.089,+0.960
1628964360,+3.52,+16.509, +8.082,+0.960
1628964960,+3.52,+16.517, +8.080,+0.960
1628965560,+3.52,+16.509, +8.068,+0.960
1628966160,+3.52,+16.475, +8.080,+0.960
1628966760,+3.52,+16.526, +8.072,+0.960
1628967360,+3.52,+16.534, +8.058,+0.960
1628967960,+3.52,+16.534, +8.053,+0.960
1628968560,+3.52,+16.500, +8.061,+0.960
1628969160,+3.52,+16.517, +8.043,+0.959
1628969760,+3.52,+16.500, +8.051,+0.960
1628970360,+3.52,+16.500, +8.055,+0.960
1628970960,+3.52,+16.509, +8.034,+0.959
1628971560,+3.52,+16.500, +8.045,+0.960
1628972160,+3.52,+16.492, +8.041,+0.960
1628972760,+3.52,+16.483, +8.051,+0.960
1628973360,+3.52,+16.492, +8.042,+0.960
1628973960,+3.52,+16.475, +8.043,+0.960
1628974560,+3.52,+16.449, +8.042,+0.959
1628975160,+3.52,+16.458, +8.045,+0.960
1628975760,+3.52,+16.475, +8.046,+0.960
1628976360,+3.52,+16.475, +8.034,+0.960
1628976960,+3.52,+16.466, +8.037,+0.960
1628977560,+3.52,+16.458, +8.042,+0.960
1628978160,+3.52,+16.466, +8.034,+0.960
1628978760,+3.52,+16.449, +8.034,+0.960
1628979360,+3.52,+16.458, +8.027,+0.960
1628979960,+3.52,+16.441, +8.042,+0.960
1628980560,+3.52,+16.449, +8.034,+0.960
1628981160,+3.52,+16.432, +8.036,+0.960
1628981760,+3.52,+16.441, +8.020,+0.959
1628982360,+3.52,+16.415, +8.050,+0.960
1628982960,+3.52,+16.398, +8.055,+0.960
1628983560,+3.52,+16.381, +8.061,+0.959
1628984160,+3.52,+16.390, +8.081,+0.960
1628984760,+3.52,+16.381, +8.096,+0.960
1628985360,+3.52,+16.381, +8.091,+0.960
1628985960,+3.52,+16.381, +8.104,+0.960
1628986560,+3.52,+16.398, +8.111,+0.960
1628987160,+3.52,+16.398, +8.122,+0.960
1628987760,+3.52,+16.373, +8.129,+0.960
1628988360,+3.52,+16.390, +8.122,+0.960
1628988960,+3.52,+16.373, +8.070,+0.960
1628989560,+3.52,+16.347, +8.022,+0.960
1628990160,+3.52,+16.364, +7.968,+0.960
1628990760,+3.52,+16.339, +7.930,+0.960
1628991360,+3.52,+16.347, +7.881,+0.960
1628991960,+3.52,+16.347, +7.849,+0.960
1628992560,+3.52,+16.364, +7.817,+0.960
1628993160,+3.52,+16.330, +7.777,+0.960
1628993760,+3.52,+16.356, +7.747,+0.960
1628994360,+3.52,+16.347, +7.727,+0.960
1628994960,+3.52,+16.347, +7.692,+0.960
1628995560,+3.52,+16.339, +7.673,+0.960
1628996160,+3.52,+16.339, +7.642,+0.960
1628996760,+3.52,+16.356, +7.619,+0.960
1628997360,+3.52,+16.339, +7.597,+0.960
1628997960,+3.52,+16.347, +7.588,+0.960
1628998560,+3.52,+16.322, +7.574,+0.960
1628999160,+3.52,+16.313, +7.560,+0.960
1628999760,+3.52,+16.347, +7.545,+0.960
1629000360,+3.52,+16.313, +7.528,+0.960
1629000960,+3.52,+16.339, +7.507,+0.960
1629001560,+3.52,+16.305, +7.511,+0.960
1629002160,+3.52,+16.322, +7.498,+0.960
1629002760,+3.52,+16.322, +7.481,+0.960
1629003360,+3.52,+16.339, +7.472,+0.960
1629003960,+3.52,+16.305, +7.473,+0.960
1629004560,+3.52,+16.339, +7.453,+0.960
1629005160,+3.52,+16.322, +7.446,+0.960
1629005760,+3.52,+16.347, +7.444,+0.960
1629006360,+3.52,+16.313, +7.426,+0.960
1629006960,+3.52,+16.330, +7.429,+0.960
1629007560,+3.52,+16.305, +7.432,+0.961
1629008160,+3.52,+16.313, +7.422,+0.960
1629008760,+3.52,+16.322, +7.416,+0.960
1629009360,+3.52,+16.313, +7.408,+0.960
1629009960,+3.52,+16.313, +7.410,+0.960
1629010560,+3.52,+16.330, +7.401,+0.960
1629011160,+3.52,+16.322, +7.395,+0.960
1629011760,+3.52,+16.339, +7.398,+0.960
1629012360,+3.52,+16.305, +7.393,+0.960
1629012960,+3.52,+16.330, +7.400,+0.961
1629013560,+3.52,+16.313, +7.386,+0.960
1629014160,+3.52,+16.313, +7.390,+0.960
1629014760,+3.52,+16.322, +7.388,+0.960
1629015360,+3.52,+16.296, +7.388,+0.960
1629015960,+3.52,+16.339, +7.378,+0.960
1629016560,+3.52,+16.288, +7.379,+0.960
1629017160,+3.52,+16.288, +7.376,+0.960
1629017760,+3.52,+16.279, +7.383,+0.961
1629018360,+3.52,+16.305, +7.383,+0.960
1629018960,+3.52,+16.288, +7.381,+0.960
1629019560,+3.52,+16.313, +7.378,+0.960
1629020160,+3.52,+16.288, +7.375,+0.960
1629020760,+3.52,+16.296, +7.376,+0.960
1629021360,+3.52,+16.313, +7.370,+0.960
1629021960,+3.52,+16.296, +7.370,+0.960
1629022560,+3.52,+16.279, +7.379,+0.960
1629023160,+3.52,+16.262, +7.372,+0.960
1629023760,+3.52,+16.296, +7.379,+0.961
1629024360,+3.52,+16.279, +7.364,+0.960
1629024960,+3.52,+16.279, +7.367,+0.960
1629025560,+3.52,+16.253, +7.372,+0.960
1629026160,+3.52,+16.288, +7.378,+0.960
1629026760,+3.52,+16.288, +7.369,+0.960
1629027360,+3.52,+16.262, +7.376,+0.960
1629027960,+3.52,+16.245, +7.371,+0.960
1629028560,+3.52,+16.253, +7.366,+0.960
