flume & timepoint & samplingTimes & samplingDateTime & duplicate\\
1 & -4 & 2M 0S & 2021-04-07 07:02:00 & FALSE\\
1 & 3 & 9M 0S & 2021-04-07 07:09:00 & FALSE\\
1 & 10 & 16M 0S & 2021-04-07 07:16:00 & FALSE\\
1 & 10 & 21M 0S & 2021-04-07 07:21:00 & TRUE\\
1 & 20 & 26M 0S & 2021-04-07 07:26:00 & FALSE\\
2 & -4 & 31M 0S & 2021-04-07 07:31:00 & FALSE\\
2 & 3 & 38M 0S & 2021-04-07 07:38:00 & FALSE\\
2 & 10 & 45M 0S & 2021-04-07 07:45:00 & FALSE\\
1 & 40 & 46M 0S & 2021-04-07 07:46:00 & FALSE\\
2 & 20 & 55M 0S & 2021-04-07 07:55:00 & FALSE\\
3 & -4 & 1H 0M 0S & 2021-04-07 08:00:00 & FALSE\\
3 & 3 & 1H 7M 0S & 2021-04-07 08:07:00 & FALSE\\
3 & 10 & 1H 14M 0S & 2021-04-07 08:14:00 & FALSE\\
2 & 40 & 75M 0S & 2021-04-07 08:15:00 & FALSE\\
3 & 20 & 1H 24M 0S & 2021-04-07 08:24:00 & FALSE\\
1 & 80 & 1H 26M 0S & 2021-04-07 08:26:00 & FALSE\\
1 & 80 & 1H 31M 0S & 2021-04-07 08:31:00 & TRUE\\
3 & 40 & 1H 44M 0S & 2021-04-07 08:44:00 & FALSE\\
3 & 40 & 1H 49M 0S & 2021-04-07 08:49:00 & TRUE\\
2 & 80 & 1H 55M 0S & 2021-04-07 08:55:00 & FALSE\\
2 & 80 & 1H 60M 0S & 2021-04-07 09:00:00 & TRUE\\
3 & 80 & 2H 24M 0S & 2021-04-07 09:24:00 & FALSE\\
1 & 160 & 2H 46M 0S & 2021-04-07 09:46:00 & FALSE\\
1 & 160 & 2H 51M 0S & 2021-04-07 09:51:00 & TRUE\\
2 & 160 & 2H 75M 0S & 2021-04-07 10:15:00 & FALSE\\
2 & 160 & 2H 80M 0S & 2021-04-07 10:20:00 & TRUE\\
3 & 160 & 3H 44M 0S & 2021-04-07 10:44:00 & FALSE\\
1 & 240 & 4H 6M 0S & 2021-04-07 11:06:00 & FALSE\\
2 & 240 & 4H 35M 0S & 2021-04-07 11:35:00 & FALSE\\
2 & 240 & 4H 40M 0S & 2021-04-07 11:40:00 & TRUE\\
3 & 240 & 5H 4M 0S & 2021-04-07 12:04:00 & FALSE\\
Blank1 & NA & 5H 9M 0S & 2021-04-07 12:09:00 & FALSE\\
Blank1 & NA & 5H 14M 0S & 2021-04-07 12:14:00 & TRUE\\
Blank2 & NA & 5H 19M 0S & 2021-04-07 12:19:00 & FALSE\\
Blank2 & NA & 5H 24M 0S & 2021-04-07 12:24:00 & TRUE\\
Blank3 & NA & 5H 29M 0S & 2021-04-07 12:29:00 & FALSE\\
1 & 360 & 6H 6M 0S & 2021-04-07 13:06:00 & FALSE\\
2 & 360 & 6H 35M 0S & 2021-04-07 13:35:00 & FALSE\\
3 & 360 & 7H 4M 0S & 2021-04-07 14:04:00 & FALSE\\
3 & 360 & 7H 9M 0S & 2021-04-07 14:09:00 & TRUE\\
1 & 480 & 8H 6M 0S & 2021-04-07 15:06:00 & FALSE\\
2 & 480 & 8H 35M 0S & 2021-04-07 15:35:00 & FALSE\\
3 & 480 & 9H 4M 0S & 2021-04-07 16:04:00 & FALSE\\
3 & 480 & 9H 9M 0S & 2021-04-07 16:09:00 & TRUE\\
